gp_id,GP_Name,GP_Asset_Class,GP_Sector,GP_Sub_Sector,total_invested,num_investments,num_portcos,num_funds
5764,Renovo Capital,Private Equity,Buyout,Small Buyout,88.593002,10,10,10
13769,China Creation Ventures,Private Equity,Venture Capital,Balanced,88.384277,18,18,18
16927,FVLCRUM,Private Equity,Buyout,Small Buyout,88.184761,14,14,14
1317,Fulcrum Capital Group,Private Debt,Special Situations,Mezzanine,88.177307,47,47,47
11510,Periscope Equity,Private Equity,Buyout,Small Buyout,88.041908,7,7,7
11367,Pacific Growth Investors,Private Equity,Growth Equity,Small Growth Equity,87.199997,10,10,10
5030,FPE,Private Equity,Growth Equity,Small Growth Equity,86.64621,11,11,11
17800,42CAP,Private Equity,Venture Capital,Early Stage,86.300003,40,40,40
48,Access Venture Partners,Private Equity,Venture Capital,Early Stage,86.282768,45,45,45
11192,01VC,Private Equity,Venture Capital,Early Stage,86.191391,47,47,47
16361,Invictus Growth Partners,Private Equity,Growth Equity,Small Growth Equity,86.099998,4,4,4
25278,Foreman Capital,Private Equity,Buyout,Small Buyout,85.880539,6,6,6
11871,capital D,Private Equity,Buyout,Small Buyout,85.800003,3,3,3
6705,Causeway Media Partners,Private Equity,Venture Capital,Balanced,84.900002,8,8,8
3199,TriWest Capital,Private Equity,Buyout,Small Buyout,84.2024,5,5,5
25018,Blue Owl Real Estate - Europe,Real Estate,Core / Core+,Europe Core+,83.899742,1,1,1
8985,The Builders Fund,Private Equity,Venture Capital,Balanced,83.809021,23,23,23
17456,Volta Energy Technologies,Private Equity,Venture Capital,Early Stage,83.779999,13,13,13
4347,"Angeleno Group, LLC",Private Equity,Venture Capital,Balanced,82.93824,12,12,12
16776,Maguar Capital Partners,Private Equity,Buyout,Small Buyout,82.722,6,5,6
5138,NaviMed Capital,Private Equity,Growth Equity,Small Growth Equity,82.683617,9,9,9
6319,"Sectoral Asset Management, Inc.",Private Equity,Venture Capital,Late Stage,82.562607,19,19,19
6513,Mucker Capital,Private Equity,Venture Capital,Early Stage,82.328568,156,156,156
5385,AC Desarrollo,Private Equity,Buyout,Small Buyout,82.206177,8,8,8
5384,AC Capitales,Real Assets,Infrastructure,Diversified,82.099998,8,8,8
10943,Education Growth Partners,Private Equity,Growth Equity,Small Growth Equity,82.099998,6,6,6
15209,Meaningful Partners,Private Equity,Buyout,Small Buyout,81.408051,6,6,6
15038,Tanglin Venture Partners,Private Equity,Venture Capital,Early Stage,81.16993,26,26,26
2519,Piper Jaffray ,Private Equity,Other,Fund of Funds,80.872002,11,11,11
17046,MML Infrastructure,Real Assets,Infrastructure,Diversified,80.633911,2,2,2
11812,McGinty Road Partners,Private Debt,Other,ABL (Asset Backed Lending),80.445847,21,0,21
16129,MKB & Co,Private Equity,Growth Equity,Small Growth Equity,79.971062,9,9,9
17492,Theory Ventures,Private Equity,Venture Capital,Early Stage,79.75,8,8,8
1901,LaSalle Capital Group,Private Equity,Buyout,Small Buyout,79.551918,9,9,9
